image_name,x,y,z,heading_rad,label
000063.png,-0.9101,-0.3144,0.0031,-0.376,crossroad
000064.png,-0.9097,-0.3145,0.0031,-0.362,crossroad
000065.png,-0.9093,-0.3147,0.0031,-0.3476,crossroad
000066.png,-0.9089,-0.3148,0.0031,-0.3332,crossroad
000067.png,-0.9085,-0.315,0.0031,-0.3187,crossroad
000068.png,-0.9081,-0.3151,0.0031,-0.3043,crossroad
000069.png,-0.9076,-0.3152,0.0031,-0.287,crossroad
000070.png,-0.9074,-0.3153,0.0031,-0.2664,crossroad
000071.png,-0.9076,-0.3152,0.0031,-0.2112,crossroad
000072.png,-0.9079,-0.3152,0.0031,-0.1654,crossroad
000073.png,-0.9084,-0.3151,0.0031,-0.1522,crossroad
000074.png,-0.9089,-0.315,0.0031,-0.1391,crossroad
000075.png,-0.9095,-0.315,0.0031,-0.1259,crossroad
000076.png,-0.9089,-0.315,0.0031,-0.1181,crossroad
000077.png,-0.9051,-0.3155,0.0031,-0.1274,crossroad
000078.png,-0.8947,-0.317,0.0031,-0.1582,crossroad
000079.png,-0.2944,-0.3182,0.0031,0.0485,crossroad
000080.png,-0.2928,-0.3181,0.0031,0.0477,crossroad
000081.png,-0.293,-0.3179,0.0031,0.0286,crossroad
000082.png,-0.2947,-0.3173,0.0031,0.0494,crossroad
000083.png,-0.2998,-0.2933,0.0031,1.7172,crossroad
000084.png,-0.907,0.3035,0.0031,0.3028,crossroad
000085.png,-0.8867,0.3098,0.0031,0.2976,crossroad
000086.png,-0.9015,0.3063,0.0031,0.2746,crossroad
000087.png,-0.9139,0.3028,0.0031,0.2733,crossroad
000088.png,-0.9196,0.3011,0.0031,0.2684,crossroad
000089.png,-0.9065,0.3047,0.0031,0.2694,crossroad
000090.png,-0.8871,0.31,0.0031,0.2659,crossroad
000091.png,-0.3038,-0.3125,0.0031,-0.0499,crossroad
000092.png,0.3113,-0.2967,0.0031,0.0538,crossroad
000093.png,1.4882,-0.3075,0.0031,0.0233,t_junction
000094.png,1.493,-0.3071,0.0031,0.3823,t_junction
000095.png,1.5166,-0.2973,0.0031,0.3223,t_junction
000096.png,1.4851,-0.308,0.0031,0.3361,t_junction
000097.png,-0.2891,-1.5064,0.0031,3.1202,t_junction
000098.png,-1.4898,-0.3016,0.0031,1.3724,t_junction
000099.png,-1.5042,0.3069,0.0031,1.6157,t_junction
000100.png,-0.3065,-1.4812,0.0031,3.1293,t_junction
000101.png,-0.8894,-0.3136,0.0031,2.3602,crossroad
000102.png,-0.283,-0.2915,0.0031,3.0079,crossroad
000103.png,-0.2852,-0.2912,0.0031,2.9937,crossroad
000104.png,-0.2874,-0.2908,0.0031,2.9794,crossroad
000105.png,-0.2895,-0.2905,0.0031,2.9652,crossroad
000106.png,-0.2917,-0.2901,0.0031,2.951,crossroad
000107.png,-0.2943,-0.2895,0.0031,2.934,crossroad
000108.png,-0.2964,-0.2891,0.0031,2.9197,crossroad
000109.png,-0.2986,-0.2886,0.0031,2.9055,crossroad
000110.png,-0.3007,-0.2881,0.0031,2.8913,crossroad
000111.png,-0.3028,-0.2875,0.0031,2.8771,crossroad
000112.png,-0.3049,-0.2869,0.0031,2.8629,crossroad
000113.png,-0.307,-0.2863,0.0031,2.8487,crossroad
000114.png,-0.3091,-0.2857,0.0031,2.8345,crossroad
000115.png,-0.3112,-0.285,0.0031,2.8202,crossroad
000116.png,-0.3085,-0.2891,0.0031,2.6653,crossroad
000117.png,-0.3075,-0.2896,0.0031,2.6657,crossroad
000118.png,-0.3065,-0.2901,0.0031,2.6662,crossroad
000119.png,-0.3055,-0.2906,0.0031,2.6666,crossroad
000120.png,-0.3045,-0.2911,0.0031,2.6671,crossroad
000121.png,-0.3048,-0.291,0.0031,2.6598,crossroad
000122.png,-0.3067,-0.2899,0.0031,2.6281,crossroad
000123.png,-0.3097,-0.2882,0.0031,2.5659,crossroad
000124.png,-0.3127,-0.2861,0.0031,2.4639,crossroad
000125.png,-0.9013,-0.3185,0.0031,-0.2459,crossroad
000126.png,-0.3007,0.8992,0.0031,-1.8066,crossroad
000127.png,-1.4851,-0.2953,0.0031,-0.0451,t_junction
000128.png,-1.4887,-0.2952,0.0031,-0.0426,t_junction
000129.png,-1.4924,-0.295,0.0031,-0.0402,t_junction
000130.png,-1.496,-0.2949,0.0031,-0.0378,t_junction
000131.png,-1.4997,-0.2947,0.0031,-0.0353,t_junction
000132.png,-1.5033,-0.2946,0.0031,-0.0329,t_junction
000133.png,-1.507,-0.2945,0.0031,-0.0305,t_junction
000134.png,-1.5106,-0.2944,0.0031,-0.028,t_junction
000135.png,-1.5143,-0.2943,0.0031,-0.0256,t_junction
000136.png,-1.5186,-0.2942,0.0031,-0.0227,t_junction
000137.png,-1.5104,-0.3042,0.0031,-0.455,t_junction
000138.png,-1.4897,-0.3143,0.0031,-0.4591,t_junction
000139.png,-1.5023,-0.308,0.0031,-0.4582,t_junction
000140.png,-1.5102,-0.3041,0.0031,-0.4581,t_junction
000141.png,-1.511,-0.3037,0.0031,-0.4606,t_junction
000142.png,-1.5119,-0.3033,0.0031,-0.4632,t_junction
000143.png,-1.5127,-0.3028,0.0031,-0.4658,t_junction
000144.png,-1.5132,-0.3026,0.0031,-0.4661,t_junction
000145.png,-1.5123,-0.3031,0.0031,-0.4446,t_junction
000146.png,-1.5102,-0.304,0.0031,-0.3726,t_junction
000147.png,-1.5083,-0.3047,0.0031,-0.265,t_junction
000148.png,-1.5079,-0.3048,0.0031,-0.2488,t_junction
000149.png,-1.5075,-0.3049,0.0031,-0.2324,t_junction
000150.png,-1.507,-0.305,0.0031,-0.2159,t_junction
000151.png,-1.5066,-0.305,0.0031,-0.1995,t_junction
000152.png,-1.5062,-0.3051,0.0031,-0.183,t_junction
000153.png,-1.5058,-0.3052,0.0031,-0.1666,t_junction
000154.png,-1.5053,-0.3053,0.0031,-0.1468,t_junction
000155.png,-1.5048,-0.3053,0.0031,-0.1304,t_junction
000156.png,-1.5044,-0.3054,0.0031,-0.1139,t_junction
000157.png,-1.504,-0.3054,0.0031,-0.0975,t_junction
000158.png,-1.5036,-0.3055,0.0031,-0.081,t_junction
000159.png,-1.5031,-0.3055,0.0031,-0.0646,t_junction
000160.png,-1.5027,-0.3055,0.0031,-0.0481,t_junction
000161.png,-1.5023,-0.3056,0.0031,-0.0317,t_junction
000162.png,-1.5018,-0.3056,0.0031,-0.0152,t_junction
000163.png,-1.5014,-0.3056,0.0031,0.0012,t_junction
000164.png,-1.5009,-0.3056,0.0031,0.021,t_junction
000165.png,-1.5005,-0.3056,0.0031,0.0374,t_junction
000166.png,-1.5,-0.3055,0.0031,0.0539,t_junction
000167.png,-1.4996,-0.3055,0.0031,0.0703,t_junction
000168.png,-1.4992,-0.3055,0.0031,0.0868,t_junction
000169.png,-1.4987,-0.3054,0.0031,0.1032,t_junction
000170.png,-1.4983,-0.3054,0.0031,0.1197,t_junction
000171.png,-1.4979,-0.3053,0.0031,0.1361,t_junction
000172.png,-1.4975,-0.3053,0.0031,0.1526,t_junction
000173.png,-1.497,-0.3052,0.0031,0.169,t_junction
000174.png,-1.4965,-0.3051,0.0031,0.1888,t_junction
000175.png,-1.4961,-0.305,0.0031,0.2052,t_junction
000176.png,-1.4957,-0.3049,0.0031,0.2217,t_junction
000177.png,-1.4953,-0.3048,0.0031,0.2381,t_junction
000178.png,-1.4949,-0.3047,0.0031,0.2546,t_junction
000179.png,-1.4944,-0.3046,0.0031,0.271,t_junction
000180.png,-1.494,-0.3045,0.0031,0.2875,t_junction
000181.png,-1.4936,-0.3044,0.0031,0.3039,t_junction
000182.png,-1.4932,-0.3043,0.0031,0.3204,t_junction
000183.png,-1.4928,-0.3041,0.0031,0.3368,t_junction
000184.png,-1.4923,-0.3039,0.0031,0.3566,t_junction
000185.png,-1.4919,-0.3038,0.0031,0.373,t_junction
000186.png,-1.492,-0.3038,0.0031,0.3936,t_junction
000187.png,-1.4916,-0.3036,0.0031,0.4217,t_junction
000188.png,-1.4911,-0.3034,0.0031,0.4653,t_junction
000189.png,-1.4897,-0.3027,0.0031,0.5216,t_junction
000190.png,-1.4878,-0.3015,0.0031,0.5934,t_junction
000191.png,-1.4866,-0.3007,0.0031,0.6423,t_junction
000192.png,-1.4868,-0.3008,0.0031,0.6432,t_junction
000193.png,-1.4869,-0.3009,0.0031,0.6442,t_junction
000194.png,-1.4871,-0.3011,0.0031,0.6455,t_junction
000195.png,-1.4873,-0.3012,0.0031,0.6465,t_junction
000196.png,-1.4874,-0.3013,0.0031,0.6474,t_junction
000197.png,-1.4876,-0.3014,0.0031,0.6484,t_junction
000198.png,-1.4873,-0.3012,0.0031,0.6532,t_junction
000199.png,-1.486,-0.3002,0.0031,0.6871,t_junction
000200.png,-1.4843,-0.2987,0.0031,0.7768,t_junction
000201.png,-1.4827,-0.2969,0.0031,0.9318,t_junction
000202.png,-1.4826,-0.2968,0.0031,0.9776,t_junction
000203.png,-1.4829,-0.2972,0.0031,0.9909,t_junction
000204.png,-1.4832,-0.2977,0.0031,1.0068,t_junction
000205.png,-1.4834,-0.2981,0.0031,1.02,t_junction
000206.png,-1.4837,-0.2985,0.0031,1.0332,t_junction
000207.png,-1.4839,-0.2989,0.0031,1.0465,t_junction
000208.png,-1.4841,-0.2993,0.0031,1.0597,t_junction
000209.png,-1.4844,-0.2997,0.0031,1.073,t_junction
000210.png,-1.4846,-0.3001,0.0031,1.0862,t_junction
000211.png,-1.4848,-0.3006,0.0031,1.0995,t_junction
000212.png,-1.485,-0.301,0.0031,1.1127,t_junction
000213.png,-1.4852,-0.3014,0.0031,1.126,t_junction
000214.png,-1.4849,-0.3008,0.0031,1.1495,t_junction
000215.png,-1.4849,-0.3006,0.0031,1.1535,t_junction
000216.png,-1.4848,-0.3006,0.0031,1.1551,t_junction
000217.png,-1.4848,-0.3006,0.0031,1.1551,t_junction
000218.png,-1.4848,-0.3006,0.0031,1.1551,t_junction
000219.png,-1.4847,-0.3002,0.0031,1.1587,t_junction
000220.png,-1.484,-0.2986,0.0031,1.1864,t_junction
000221.png,-1.4831,-0.2962,0.0031,1.2629,t_junction
000222.png,-1.4826,-0.2944,0.0031,1.375,t_junction
000223.png,-1.4826,-0.2945,0.0031,1.3896,t_junction
000224.png,-1.4826,-0.2946,0.0031,1.4101,t_junction
000225.png,-1.4827,-0.2947,0.0031,1.4247,t_junction
000226.png,-1.4827,-0.2948,0.0031,1.4393,t_junction
000227.png,-1.4827,-0.2949,0.0031,1.4539,t_junction
000228.png,-1.4827,-0.295,0.0031,1.4685,t_junction
000229.png,-1.4827,-0.2951,0.0031,1.4831,t_junction
000230.png,-1.4827,-0.2947,0.0031,1.4953,t_junction
000231.png,-1.4825,-0.292,0.0031,1.4966,t_junction
000232.png,-0.9275,-0.2982,0.0031,0.0392,crossroad
000233.png,-0.9243,-0.2981,0.0031,0.0399,crossroad
000234.png,-0.9216,-0.298,0.0031,0.0404,crossroad
000235.png,-0.9189,-0.2979,0.0031,0.0408,crossroad
000236.png,-0.9189,-0.2979,0.0031,0.0424,crossroad
000237.png,-0.9193,-0.2979,0.0031,0.041,crossroad
000238.png,-0.9198,-0.2979,0.0031,0.0397,crossroad
000239.png,-0.9203,-0.2979,0.0031,0.0383,crossroad
000240.png,-0.9207,-0.298,0.0031,0.037,crossroad
000241.png,-0.921,-0.298,0.0031,0.0362,crossroad
000242.png,-0.921,-0.298,0.0031,0.0362,crossroad
000243.png,-0.921,-0.298,0.0031,0.0362,crossroad
000244.png,-0.921,-0.298,0.0031,0.0362,crossroad
000245.png,-0.921,-0.298,0.0031,0.0362,crossroad
000246.png,-0.921,-0.298,0.0031,0.0362,crossroad
000247.png,-0.921,-0.298,0.0031,0.0362,crossroad
000248.png,-0.921,-0.298,0.0031,0.0362,crossroad
000249.png,-0.921,-0.298,0.0031,0.0362,crossroad
000250.png,-0.921,-0.298,0.0031,0.0362,crossroad
000251.png,-0.921,-0.298,0.0031,0.0362,crossroad
000252.png,-0.9208,-0.298,0.0031,0.0381,crossroad
000253.png,-0.9197,-0.2979,0.0031,0.0653,crossroad
000254.png,-0.9172,-0.2976,0.0031,0.1719,crossroad
000255.png,-0.9152,-0.2972,0.0031,0.2957,crossroad
000256.png,-0.9156,-0.2973,0.0031,0.3075,crossroad
000257.png,-0.916,-0.2974,0.0031,0.3194,crossroad
000258.png,-0.9163,-0.2976,0.0031,0.3313,crossroad
000259.png,-0.9167,-0.2977,0.0031,0.3432,crossroad
000260.png,-0.9171,-0.2978,0.0031,0.3551,crossroad
000261.png,-0.9174,-0.2979,0.0031,0.368,crossroad
000262.png,-0.9165,-0.2976,0.0031,0.4033,crossroad
000263.png,-0.9152,-0.297,0.0031,0.4891,crossroad
000264.png,-0.914,-0.2963,0.0031,0.6814,crossroad
000265.png,-0.9139,-0.2962,0.0031,0.9196,crossroad
000266.png,-0.9143,-0.2969,0.0031,1.2139,crossroad
000267.png,-0.9144,-0.297,0.0031,1.2876,crossroad
000268.png,-0.9144,-0.2969,0.0031,1.301,crossroad
000269.png,-0.9143,-0.2968,0.0031,1.3144,crossroad
000270.png,-0.9143,-0.2967,0.0031,1.3278,crossroad
000271.png,-0.9143,-0.2967,0.0031,1.3412,crossroad
000272.png,-0.9143,-0.2966,0.0031,1.3546,crossroad
000273.png,-0.9142,-0.2965,0.0031,1.368,crossroad
000274.png,-0.9142,-0.2964,0.0031,1.384,crossroad
000275.png,-0.9142,-0.2963,0.0031,1.3976,crossroad
000276.png,-0.9142,-0.2964,0.0031,1.4161,crossroad
000277.png,-0.9142,-0.296,0.0031,1.4533,crossroad
000278.png,-0.9141,-0.2947,0.0031,1.5148,crossroad
000279.png,-0.914,-0.2919,0.0031,1.5649,crossroad
000280.png,-0.914,-0.2909,0.0031,1.5703,crossroad
000281.png,-0.914,-0.2898,0.0031,1.5757,crossroad
000282.png,-0.914,-0.2887,0.0031,1.5811,crossroad
000283.png,-0.914,-0.2877,0.0031,1.5865,crossroad
000284.png,-0.9141,-0.2814,0.0031,1.5906,crossroad
000285.png,-0.915,0.2754,0.0031,1.4093,crossroad
000286.png,-0.9145,0.2788,0.0031,1.427,crossroad
000287.png,-0.9141,0.2817,0.0031,1.4418,crossroad
000288.png,-0.9137,0.2846,0.0031,1.4566,crossroad
000289.png,-0.9134,0.2874,0.0031,1.4713,crossroad
000290.png,-0.9131,0.2903,0.0031,1.4861,crossroad
000291.png,-0.9129,0.2932,0.0031,1.5009,crossroad
000292.png,-0.9127,0.2961,0.0031,1.5157,crossroad
000293.png,-0.9126,0.299,0.0031,1.5304,crossroad
000294.png,-0.9125,0.3019,0.0031,1.5452,crossroad
000295.png,-0.9124,0.3048,0.0031,1.56,crossroad
000296.png,-0.9124,0.3089,0.0031,1.5806,crossroad
000297.png,-0.9125,0.3118,0.0031,1.5954,crossroad
000298.png,-0.9125,0.3147,0.0031,1.6102,crossroad
000299.png,-0.9127,0.3176,0.0031,1.6249,crossroad
000300.png,-0.9129,0.3205,0.0031,1.6397,crossroad
000301.png,-0.9131,0.3234,0.0031,1.6545,crossroad
000302.png,-0.9133,0.3263,0.0031,1.6692,crossroad
000303.png,-0.9103,0.3121,0.0031,1.7315,crossroad
000304.png,-0.9101,0.3106,0.0031,1.7327,crossroad
000305.png,-0.9098,0.309,0.0031,1.734,crossroad
000306.png,-0.9095,0.3074,0.0031,1.7353,crossroad
000307.png,-0.9091,0.3051,0.0031,1.7371,crossroad
000308.png,-0.9089,0.3035,0.0031,1.7384,crossroad
000309.png,-0.9086,0.3018,0.0031,1.7397,crossroad
000310.png,-0.9083,0.3002,0.0031,1.741,crossroad
000311.png,-0.908,0.2986,0.0031,1.7423,crossroad
000312.png,-0.9078,0.297,0.0031,1.7437,crossroad
000313.png,-0.9075,0.2954,0.0031,1.745,crossroad
000314.png,-0.9072,0.2937,0.0031,1.7463,crossroad
000315.png,-0.9069,0.2921,0.0031,1.7476,crossroad
000316.png,-0.9066,0.2905,0.0031,1.7489,crossroad
000317.png,-0.9064,0.2892,0.0031,1.7473,crossroad
000318.png,-0.9067,0.2909,0.0031,1.7276,crossroad
000319.png,-0.9072,0.2946,0.0031,1.6679,crossroad
000320.png,-0.9074,0.2986,0.0031,1.5419,crossroad
000321.png,-0.9074,0.2985,0.0031,1.5252,crossroad
000322.png,-0.9074,0.2983,0.0031,1.5082,crossroad
000323.png,-0.9074,0.2982,0.0031,1.4911,crossroad
000324.png,-0.9074,0.298,0.0031,1.4741,crossroad
000325.png,-0.9074,0.2979,0.0031,1.4571,crossroad
000326.png,-0.9074,0.2979,0.0031,1.4356,crossroad
000327.png,-0.9072,0.2992,0.0031,1.38,crossroad
000328.png,-0.9068,0.301,0.0031,1.2714,crossroad
000329.png,-0.9062,0.3026,0.0031,1.0924,crossroad
000330.png,-0.9055,0.3037,0.0031,0.8416,crossroad
000331.png,-0.9053,0.3039,0.0031,0.5403,crossroad
000332.png,-0.9053,0.3039,0.0031,0.3402,crossroad
000333.png,-0.9058,0.3037,0.0031,0.3274,crossroad
000334.png,-0.9064,0.3036,0.0031,0.3146,crossroad
000335.png,-0.9067,0.3035,0.0031,0.3033,crossroad
000336.png,-0.9031,0.3046,0.0031,0.3107,crossroad
000337.png,-0.8889,0.3094,0.0031,0.3501,crossroad
000338.png,-0.3293,-0.3007,0.0031,0.0098,crossroad
000339.png,-0.2709,-0.3002,0.0031,0.0085,crossroad
000340.png,-0.3177,-0.9075,0.0031,0.8058,crossroad
000341.png,-0.3008,-0.8899,0.0031,0.8031,crossroad
000342.png,-0.2929,-0.8817,0.0031,0.8039,crossroad
000343.png,-0.2923,-0.8811,0.0031,0.8074,crossroad
000344.png,-0.2917,-0.8805,0.0031,0.8108,crossroad
000345.png,-0.2911,-0.8799,0.0031,0.8142,crossroad
000346.png,-0.2906,-0.8793,0.0031,0.8176,crossroad
000347.png,-0.2911,-0.8799,0.0031,0.8175,crossroad
000348.png,-0.2953,-0.8844,0.0031,0.8135,crossroad
000349.png,-0.3068,-0.8965,0.0031,0.8127,crossroad
000350.png,-0.3247,-0.9152,0.0031,0.8148,crossroad
000351.png,-0.3193,-0.9095,0.0031,0.8142,crossroad
000352.png,-0.319,-0.9091,0.0031,0.8139,crossroad
000353.png,-0.3186,-0.9088,0.0031,0.8136,crossroad
000354.png,-0.3183,-0.9084,0.0031,0.8133,crossroad
000355.png,-0.318,-0.908,0.0031,0.813,crossroad
000356.png,-0.3176,-0.9077,0.0031,0.8127,crossroad
000357.png,-0.3173,-0.9073,0.0031,0.8125,crossroad
000358.png,-0.3169,-0.9069,0.0031,0.8122,crossroad
000359.png,-0.3166,-0.9066,0.0031,0.8119,crossroad
000360.png,-0.3162,-0.9062,0.0031,0.8116,crossroad
000361.png,-0.3157,-0.9057,0.0031,0.8112,crossroad
000362.png,-0.3154,-0.9053,0.0031,0.8109,crossroad
000363.png,-0.3154,-0.9053,0.0031,0.8075,crossroad
000364.png,-0.3155,-0.9055,0.0031,0.7757,crossroad
000365.png,-0.3153,-0.9053,0.0031,0.6858,crossroad
000366.png,-0.3147,-0.9048,0.0031,0.5239,crossroad
000367.png,-0.3145,-0.9048,0.0031,0.3854,crossroad
000368.png,-0.315,-0.9049,0.0031,0.3641,crossroad
000369.png,-0.3155,-0.9051,0.0031,0.3428,crossroad
000370.png,-0.316,-0.9053,0.0031,0.3215,crossroad
000371.png,-0.3166,-0.9055,0.0031,0.296,crossroad
000372.png,-0.3171,-0.9056,0.0031,0.2747,crossroad
000373.png,-0.3176,-0.9058,0.0031,0.2534,crossroad
000374.png,-0.3179,-0.9058,0.0031,0.2291,crossroad
000375.png,-0.3163,-0.9055,0.0031,0.1673,crossroad
000376.png,-0.3144,-0.9053,0.0031,0.0388,crossroad
000377.png,-0.3118,-0.9054,0.0031,-0.1665,crossroad
000378.png,-0.3096,-0.906,0.0031,-0.4406,crossroad
000379.png,-0.3078,-0.9071,0.0031,-0.7563,crossroad
000380.png,-0.3066,-0.9086,0.0031,-1.0958,crossroad
000381.png,-0.3062,-0.9098,0.0031,-1.5078,crossroad
000382.png,-0.3063,-0.9112,0.0031,-1.8452,crossroad
000383.png,-0.3065,-0.9119,0.0031,-2.1728,crossroad
000384.png,-0.3069,-0.9123,0.0031,-2.4901,crossroad
000385.png,-0.3071,-0.9124,0.0031,-2.7987,crossroad
000386.png,-0.3061,-0.9123,0.0031,-3.1014,crossroad
000387.png,-0.3049,-0.9123,0.0031,2.8815,crossroad
000388.png,-0.304,-0.9127,0.0031,2.5837,crossroad
000389.png,-0.3033,-0.9133,0.0031,2.2879,crossroad
000390.png,-0.3032,-0.9134,0.0031,2.2238,crossroad
000391.png,-0.3033,-0.9133,0.0031,2.2155,crossroad
000392.png,-0.3033,-0.9133,0.0031,2.2086,crossroad
000393.png,-0.3033,-0.9133,0.0031,2.2017,crossroad
000394.png,-0.3033,-0.9132,0.0031,2.1949,crossroad
000395.png,-0.3033,-0.9132,0.0031,2.188,crossroad
000396.png,-0.3033,-0.9132,0.0031,2.181,crossroad
000397.png,-0.3034,-0.9132,0.0031,2.1632,crossroad
000398.png,-0.3034,-0.9132,0.0031,2.1114,crossroad
000399.png,-0.3036,-0.9128,0.0031,2.0031,crossroad
000400.png,-0.3038,-0.9122,0.0031,1.8194,crossroad
000401.png,-0.3039,-0.9113,0.0031,1.5028,crossroad
000402.png,-0.3039,-0.9113,0.0031,1.1889,crossroad
000403.png,-0.3042,-0.9118,0.0031,0.8521,crossroad
000404.png,-0.3044,-0.9119,0.0031,0.5119,crossroad
000405.png,-0.3044,-0.912,0.0031,0.1767,crossroad
000406.png,-0.3042,-0.9119,0.0031,-0.1541,crossroad
000407.png,-0.3041,-0.912,0.0031,-0.4746,crossroad
000408.png,-0.3036,-0.9124,0.0031,-0.7823,crossroad
000409.png,-0.3033,-0.9127,0.0031,-1.0823,crossroad
000410.png,-0.3031,-0.9132,0.0031,-1.377,crossroad
000411.png,-0.3031,-0.9133,0.0031,-1.6124,crossroad
000412.png,-0.3031,-0.9132,0.0031,-1.6185,crossroad
000413.png,-0.3031,-0.913,0.0031,-1.6247,crossroad
000414.png,-0.3031,-0.9137,0.0031,-1.627,crossroad
000415.png,-0.3034,-0.9196,0.0031,-1.6213,crossroad
000416.png,-0.3246,-0.2846,0.0031,0.3367,crossroad
000417.png,-0.3208,-0.2832,0.0031,0.3393,crossroad
000418.png,-0.3218,-0.2836,0.0031,0.3418,crossroad
000419.png,-0.3137,-0.2799,0.0031,0.2003,crossroad
000420.png,-0.3072,-0.2719,0.0031,-1.4895,crossroad
000421.png,-0.307,-0.2743,0.0031,-1.4884,crossroad
000422.png,-0.3068,-0.2766,0.0031,-1.4873,crossroad
000423.png,-0.3066,-0.279,0.0031,-1.4862,crossroad
000424.png,-0.3065,-0.2811,0.0031,-1.4838,crossroad
000425.png,-0.3065,-0.2805,0.0031,-1.4789,crossroad
000426.png,-0.307,-0.2747,0.0031,-1.4773,crossroad
000427.png,-0.3083,-0.2845,0.0031,-1.5022,crossroad
000428.png,-0.3082,-0.2858,0.0031,-1.5035,crossroad
000429.png,-0.3081,-0.2871,0.0031,-1.5049,crossroad
000430.png,-0.308,-0.2886,0.0031,-1.5065,crossroad
000431.png,-0.308,-0.2897,0.0031,-1.5066,crossroad
000432.png,-0.3079,-0.2902,0.0031,-1.488,crossroad
000433.png,-0.3079,-0.2908,0.0031,-1.4064,crossroad
000434.png,-0.3076,-0.2918,0.0031,-1.2484,crossroad
000435.png,-0.307,-0.2932,0.0031,-1.0212,crossroad
000436.png,-0.3064,-0.294,0.0031,-0.73,crossroad
000437.png,-0.306,-0.2943,0.0031,-0.3994,crossroad
000438.png,-0.3058,-0.2944,0.0031,-0.0541,crossroad
000439.png,-0.3065,-0.2945,0.0031,0.2946,crossroad
